AtomicNumber;Element;Symbol;AtomicMass;Phase;Radioactive;Natural;Type;MeltingPoint;BoilingPoint;Discoverer;Year;NumberofShells;NumberofValence
64;Gadolinium;Gd;157.25;solid;;yes;Lanthanide;1585.15;3546;de Marignac;1880;6;
65;Terbium;Tb;158.925;solid;;yes;Lanthanide;1630.15;3503;Mosander;1843;6;
66;Dysprosium;Dy;162.5;solid;;yes;Lanthanide;1680.15;2840;de Boisbaudran;1886;6;
67;Holmium;Ho;164.93;solid;;yes;Lanthanide;1743.15;2993;Delafontaine and Soret;1878;6;
68;Erbium;Er;167.259;solid;;yes;Lanthanide;1795.15;3503;Mosander;1843;6;
69;Thulium;Tm;168.934;solid;;yes;Lanthanide;1818.15;2223;Cleve;1879;6;
70;Ytterbium;Yb;173.054;solid;;yes;Lanthanide;1097.15;1469;Marignac;1878;6;
71;Lutetium;Lu;174.967;solid;;yes;Lanthanide;1936.15;3675;Urbain/ von Welsbach;1907;6;
72;Hafnium;Hf;178.49;solid;;yes;Transition Metal;2500.15;4876;Coster and von Hevesy;1923;6;
73;Tantalum;Ta;180.948;solid;;yes;Transition Metal;3269.15;5731;Ekeberg;1801;6;
74;Wolfram;W;183.84;solid;;yes;Transition Metal;3680.15;5828;J. and F. d'Elhuyar;1783;6;
75;Rhenium;Re;186.207;solid;;yes;Transition Metal;3453.15;5869;Noddack, Berg, and Tacke;1925;6;
76;Osmium;Os;190.23;solid;;yes;Transition Metal;3300.15;5285;Tennant;1803;6;
77;Iridium;Ir;192.217;solid;;yes;Transition Metal;2716.15;4701;Tennant;1804;6;
78;Platinum;Pt;195.084;solid;;yes;Transition Metal;2045.15;4098;Ulloa/Wood;1735;6;
79;Gold;Au;196.967;solid;;yes;Transition Metal;1337.73;3129;Prehistoric;;6;
80;Mercury;Hg;200.59;liq;;yes;Transition Metal;234.43;630;Prehistoric;;6;
81;Thallium;Tl;204.383;solid;;yes;Metal;577.15;1746;Crookes;1861;6;3
82;Lead;Pb;207.2;solid;;yes;Metal;600.75;2022;Prehistoric;;6;4
83;Bismuth;Bi;208.98;solid;;yes;Metal;544.67;1837;Geoffroy the Younger;1753;6;5
